# VB6 Control Property Descriptor Tables
# Extracted from MSVBVM60.DLL v6.00.9848 runtime descriptor pointer tables.
# Each row represents one entry in a control's property pointer table.
# Status: active=serializable, fontsub=flag-only, skip=runtime-only, sep=separator, obj=COM object ref
#
# Descriptor Table VAs:
#   Timer:          0x66028A50 (9 entries)
#   Label:          0x66027040 (47 entries)
#   CommandButton:  0x660283C8 (43 entries)
#   TextBox:        0x66026A40 (58 entries)
#   CheckBox:       0x66025A78 (49 entries)
#   OptionButton:   0x66027BB0 (43 entries)
#   Frame:          0x660256A8 (35 entries)
#   PictureBox:     0x66027FD8 (69 entries)
#   ListBox:        0x66002330 (56 entries)
#   ComboBox:       0x66025F30 (56 entries)
#   HScrollBar:     0x660286B0 (27 entries)
#   VScrollBar:     0x660286B0 (27 entries, shared with HScrollBar)
#   Image:          0x660272E8 (29 entries)
#   Shape:          0x66028900 (19 entries)
#   Line:           0x66027748 (14 entries)
#   Data:           0x660241E8 (46 entries)
#   DriveListBox:   0x660265D0 (38 entries)
#   DirListBox:     0x660262D0 (40 entries)
#   FileListBox:    0x6601E8C0 (49 entries)
#   Menu:           0x66027940 (14 entries)
#   OLE:            0x66025000 (75 entries)
#   Form:           0x660226B0 (75 entries)
#   MDIForm:        0x660226B0 (75 entries, shared with Form)
#   PropertyPage:   0x6602A3F0 (78 entries)
#   UserControl:    0x66029530 (94 entries)
#   UserDocument:   0x66029D10 (88 entries)
#
control_type,index,name,ser_type,callback_bytes,status,flags,descriptor_va
CommandButton,24,TabStop,4,0,active,0x80C14404,0x66002000
CommandButton,25,Tag,13,0,active,0x80C1220D,0x66001DD0
CommandButton,26,hWnd,3,0,flag,0x80003803,0x66001D30
CommandButton,27,HelpContextID,3,0,active,0x80C12203,0x66001DB0
CommandButton,28,MouseIcon,21,0,active,0x84C1A615,0x66001D40
CommandButton,29,Font,20,0,active,0x80224414,0x66001CC0
CommandButton,30,WhatsThisHelpID,3,0,active,0x80C12203,0x66001EF0
CommandButton,31,Appearance,6,0,active,0x80C12606,0x66001CA0
CommandButton,32,Container,32,0,skip,0x80004C20,0x66001FB0
CommandButton,33,RightToLeft,4,0,active,0x80C14404,0x66114000
CommandButton,34,Picture,21,0,active,0x84E14495,0x660259E0
CommandButton,35,DisabledPicture,21,0,active,0x84E14495,0x66025A00
CommandButton,36,DownPicture,21,0,active,0x84E14495,0x660259F0
CommandButton,37,ToolTipText,1,0,active,0x80D12401,0x66001F20
CommandButton,38,OLEDropMode,6,0,active,0x80412406,0x66001D70
CommandButton,39,MaskColor,5,0,active,0x80F14405,0x66025A10
CommandButton,40,UseMaskColor,4,0,active,0x80E14404,0x66025A20
CommandButton,41,Style,6,0,active,0x00C13406,0x660283B0
CommandButton,42,CausesValidation,4,0,active,0x80C12204,0x66002010
Data,0,Name,18,0,skip,0x8400D412,0x66001E50
Data,1,Index,17,0,active,0x84C1D411,0x66001F00
Data,2,LeftTop,8,4,active,0x90222408,0x66001DC0
Data,3,Top,10,0,flag,0x9020240A,0x66001DE0
Data,4,Width,9,0,flag,0x90202409,0x66001E00
Data,5,Height,11,0,flag,0x9020240B,0x66001DA0
Data,6,Enabled,4,0,active,0x80E14404,0x66001D90
Data,7,Visible,4,0,active,0x80E14404,0x66001DF0
Data,8,MousePointer,6,0,active,0x80C12406,0x66001D50
Data,9,FontName,1,0,active,0x90224C01,0x66001CF0
Data,10,FontSize,7,0,flag,0x90304C07,0x66001D00
Data,11,FontBold,4,0,flag,0x90204C04,0x66001CD0
Data,12,FontItalic,4,0,flag,0x90204C04,0x66001CE0
Data,13,FontStrikethru,4,0,flag,0x90204C04,0x66001D10
Data,14,FontUnderline,4,0,flag,0x90204C04,0x66001D20
Data,15,Parent,25,0,skip,0x80003819,0x66001F10
Data,16,Tag,13,0,active,0x80C1220D,0x66001DD0
Data,17,_,4,0,sep,0xE0000804,0x660024A0
Data,18,Connect,13,0,active,0x0011260D,0x660240C0
Data,19,DatabaseName,13,0,active,0x0431260D,0x660240F8
Data,20,Database,22,0,flag,0x00005C16,0x660240E0
Data,21,RecordSource,22,0,flag,0x00204C16,0x66024158
Data,22,Exclusive,4,0,active,0x00012604,0x66024118
Data,23,ReadOnly,4,0,active,0x00012604,0x66024138
Data,24,RecordSource,13,0,active,0x0431260D,0x66024148
Data,25,Caption,1,0,active,0x80EA4401,0x66022290
Data,26,EditMode,2,0,flag,0x00005802,0x66024108
Data,27,Options,2,0,active,0x00012602,0x66024128
Data,28,BackColor,5,0,active,0x80F12405,0x66001E40
Data,29,ForeColor,5,0,active,0x80F12405,0x66001E60
Data,30,DragMode,6,0,active,0x80C12606,0x66001ED0
Data,31,DragIcon,21,0,active,0x84C1A215,0x66001EC0
Data,32,MouseIcon,21,0,active,0x84C1A615,0x66001D40
Data,33,Font,20,0,active,0x80224414,0x66001CC0
Data,34,Align,6,0,active,0x80C12406,0x66024040
Data,35,BOFAction,6,0,active,0x00C12206,0x66024170
Data,36,EOFAction,6,0,active,0x00C12206,0x66024188
Data,37,DefaultCursorType,6,0,active,0x00014406,0x660241A0
Data,38,WhatsThisHelpID,3,0,active,0x80C12203,0x66001EF0
Data,39,Appearance,6,0,active,0x80C12606,0x66001CA0
Data,40,Negotiate,4,0,active,0x82C13404,0x66024058
Data,41,RightToLeft,4,0,active,0x80C14404,0x66114000
Data,42,OLEDropMode,6,0,active,0x80412406,0x66001D70
Data,43,ToolTipText,1,0,active,0x80D12401,0x66001F20
Data,44,DefaultType,6,0,active,0x00014406,0x660241B8
Data,45,RecordsetType,6,0,active,0x00014406,0x660241D0
DirListBox,2,BackColor,5,0,active,0x80F12405,0x66001E40
DirListBox,3,ForeColor,5,0,active,0x80F12405,0x66001E60
DirListBox,4,LeftTop,8,4,active,0x90222408,0x66001DC0
DirListBox,5,Top,10,0,flag,0x9020240A,0x66001DE0
DirListBox,6,Width,9,0,flag,0x90202409,0x66001E00
DirListBox,7,Height,11,0,flag,0x9020240B,0x66001DA0
DirListBox,8,Enabled,4,0,active,0x80E14404,0x66001D90
DirListBox,9,Visible,4,0,active,0x80E14404,0x66001DF0
DirListBox,10,MousePointer,6,0,active,0x80C12406,0x66001D50
DirListBox,11,TabIndex,2,0,active,0x84012402,0x66001FF0
DirListBox,17,FontSize,7,0,flag,0x90304C07,0x66001D00
DirListBox,18,FontBold,4,0,flag,0x90204C04,0x66001CD0
DirListBox,19,FontItalic,4,0,flag,0x90204C04,0x66001CE0
DirListBox,20,FontStrikethru,4,0,flag,0x90204C04,0x66001D10
DirListBox,21,FontUnderline,4,0,flag,0x90204C04,0x66001D20
DirListBox,23,DragMode,6,0,active,0x80C12606,0x66001ED0
DirListBox,25,TabStop,4,0,active,0x80C14404,0x66002000
DirListBox,26,Tag,13,0,active,0x80C1220D,0x66001DD0
DirListBox,28,HelpContextID,3,0,active,0x80C12203,0x66001DB0
DirListBox,29,IMEMode,6,0,active,0xC0C16606,0x66114018
DirListBox,31,Font,20,-1,active,0x80224414,0x66001CC0
DirListBox,32,WhatsThisHelpID,3,0,active,0x80C12203,0x66001EF0
DirListBox,33,Appearance,6,0,active,0x80C12606,0x66001CA0
DirListBox,35,ToolTipText,1,0,active,0x80D12401,0x66001F20
DirListBox,36,OLEDragMode,6,0,active,0x80412206,0x660021A0
DirListBox,37,OLEDropMode,6,0,active,0x80412406,0x66001D70
DirListBox,39,CausesValidation,4,0,active,0x80C12204,0x66002010
DriveListBox,2,BackColor,5,0,active,0x80F12405,0x66001E40
DriveListBox,3,ForeColor,5,0,active,0x80F12405,0x66001E60
DriveListBox,4,LeftTop,8,4,active,0x90222408,0x66001DC0
DriveListBox,5,Top,10,0,flag,0x9020240A,0x66001DE0
DriveListBox,6,Width,9,0,flag,0x90202409,0x66001E00
DriveListBox,7,Height,11,0,flag,0x9020240B,0x66001DA0
DriveListBox,8,Enabled,4,0,active,0x80E14404,0x66001D90
DriveListBox,9,Visible,4,0,active,0x80E14404,0x66001DF0
DriveListBox,10,MousePointer,6,0,active,0x80C12406,0x66001D50
DriveListBox,11,TabIndex,2,0,active,0x84012402,0x66001FF0
DriveListBox,17,FontSize,7,0,flag,0x90304C07,0x66001D00
DriveListBox,18,FontBold,4,0,flag,0x90204C04,0x66001CD0
DriveListBox,19,FontItalic,4,0,flag,0x90204C04,0x66001CE0
DriveListBox,20,FontStrikethru,4,0,flag,0x90204C04,0x66001D10
DriveListBox,21,FontUnderline,4,0,flag,0x90204C04,0x66001D20
DriveListBox,23,DragMode,6,0,active,0x80C12606,0x66001ED0
DriveListBox,25,TabStop,4,0,active,0x80C14404,0x66002000
DriveListBox,26,Tag,13,0,active,0x80C1220D,0x66001DD0
DriveListBox,28,HelpContextID,3,0,active,0x80C12203,0x66001DB0
